Date,X,Y,Z,Equipo1,Equipo2
2011-08-31,114.85,705.0,2402.25,586.97,1074.0333333333333
2011-09-02,101.82,705.0,2537.5,584.364,1114.7733333333333
2011-09-05,115.9,705.0,2619.5,587.18,1146.8
2011-09-06,119.57,705.0,2625.25,587.914,1149.9399999999998
2011-09-08,102.57,705.0,2390.25,584.514,1065.9399999999998
2011-09-09,112.77,715.0,2342.5,594.554,1056.7566666666667
2011-09-12,108.62,715.0,2066.25,593.724,963.29
2011-09-13,111.89,715.0,2354.25,594.378,1060.3799999999999
2011-09-14,112.4,715.0,2329.25,594.48,1052.2166666666667
2011-09-15,115.34,715.0,2338.5,595.068,1056.28
2011-09-16,112.22,715.0,2345.5,594.444,1057.5733333333335
2011-09-19,109.14,715.0,2309.5,593.828,1044.5466666666666
2011-09-20,110.54,715.0,2303.75,594.108,1043.0966666666666
2011-09-21,110.36,715.0,2266.25,594.072,1030.5366666666666
2011-09-22,105.49,715.0,2224.75,593.098,1015.0799999999999
2011-09-23,103.97,692.5,2169.75,574.794,988.7400000000001
2011-09-26,103.94,692.5,2195.25,574.788,997.23
2011-09-27,107.14,692.5,2193.5,575.428,997.7133333333333
2011-09-28,103.81,692.5,2205.25,574.762,1000.52
2011-09-29,103.95,692.5,2185.5,574.79,993.9833333333332
2011-09-30,102.76,692.5,2206.5,574.552,1000.5866666666667
2011-10-03,115.43,692.5,2546.25,577.086,1118.0600000000002
2011-10-05,117.63,692.5,2649.5,577.526,1153.21
2011-10-06,118.78,692.5,2604.5,577.756,1138.5933333333332
2011-10-10,108.95,692.5,2185.5,575.79,995.65
2011-10-11,113.71,692.5,2111.75,576.742,972.6533333333333
2011-10-13,111.11,692.5,2177.75,576.222,993.7866666666667
2011-10-14,114.68,682.5,2170.5,568.936,989.2266666666668
2011-10-17,110.16,682.5,2209.0,568.032,1000.5533333333333
2011-10-18,111.15,682.5,2157.25,568.23,983.6333333333333
2011-10-19,108.39,682.5,2171.25,567.678,987.38
2011-10-20,109.76,682.5,2121.25,567.952,971.1700000000001
2011-10-21,109.56,615.0,2109.75,513.912,944.77
2011-10-24,111.45,615.0,2158.25,514.29,961.5666666666666
2011-10-25,110.92,615.0,2194.5,514.184,973.4733333333334
2011-10-26,108.91,615.0,2195.25,513.782,973.0533333333333
2011-10-27,112.08,615.0,2233.75,514.416,986.9433333333333
2011-10-28,109.91,615.0,2221.25,513.982,982.0533333333333
2011-10-31,109.56,615.0,2186.5,513.912,970.3533333333334
2011-11-01,97.61,615.0,2488.5,511.522,1067.0366666666666
2011-11-02,101.43,615.0,2490.25,512.2860000000001,1068.8933333333334
2011-11-03,113.84,615.0,2490.5,514.768,1073.1133333333335
2011-11-04,123.98,605.0,2653.25,508.796,1127.41
2011-11-07,117.24,605.0,2451.5,507.448,1057.9133333333332
2011-11-08,108.02,605.0,2367.25,505.604,1026.7566666666667
2011-11-10,110.73,605.0,2184.5,506.146,966.7433333333333
2011-11-11,114.16,602.5,2115.25,504.832,943.9699999999999
2011-11-14,111.89,602.5,2143.5,504.378,952.63
